impact	Europe	Asia	America	Oceania	Africa	Other
Nitrous Oxide (N2O) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	8.99863632933	19.9796808605	14.8831365494	1.27767307723	2.5017574378	15.6784071071
Carbon dioxide (CO2) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	553672.370348	1662702.49214	398532.267914	43405.4300599	103497.475423	1060094.17546
Methane (CH4) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	171104.657359	353617.178093	272237.533943	74390.1283349	344074.544234	699762.586808
Nitrous Oxide (N2O) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	46003.6402415	117095.140426	105333.560588	18521.5641854	98716.3771845	119054.218052
Carbon dioxide (CO2) Fuel combustion and cement	542296.982771	1616954.48473	386525.51318	42054.3658809	101106.918846	1047351.92411
Carbon dioxide (CO2) Fuel combustion	517913.76643	1387591.17875	372696.488665	40850.0453411	88093.9659946	966506.341019
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 1999) | GWP100 (IPCC, 2007)	814019413627	2.20379768457e+12	813089839286	137278683794	547875312946	1.88836943274e+12
GHG emissions (GWP100min) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 min(Houghton et al., 2001)	818823791218	2.22938727011e+12	804175165721	132581286216	524329483391	1.85977077903e+12
GHG emissions (GWP100max) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 max(Houghton et al., 2001)	834184803423	2.28568944777e+12	814761681241	133886790972	528264508852	1.87722886668e+12
GHG emissions (GWP20) | Problem oriented approach: non baseline (CML, 1999) | GWP20 (IPCC, 2007)	1.13248663604e+12	2.86362481874e+12	1.32098563719e+12	276565503195	1.19156102586e+12	3.19980977505e+12
GHG emissions (GWP500) | Problem oriented approach: non baseline (CML, 1999) | GWP500 (IPCC, 2007)	675130867522	1.90263706145e+12	573272649021	76484535707.5	260588040952	1.34390596684e+12
ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	32384.8246663	47349.9529286	37917.5658346	3524.53660905	14066.0580646	56848.0638631
human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	5.32755433146e+12	2.0708764578e+13	3.79887182148e+12	86650720042	2.19459946142e+12	1.0693667998e+13
Freshwater aquatic ecotoxicity (FAETP inf) | Problem oriented approach: baseline (CML, 1999) | FAETP inf. (Huijbregts, 1999 & 2000)	4926872148.53	15294846117.2	2723186590.64	132594454.044	1495625925.93	7630585029.09
Marine aquatic ecotoxicity (MAETP inf) | Problem oriented approach: baseline (CML, 1999) | MAETP inf. (Huijbregts, 1999 & 2000)	1.67375980403e+13	3.2753379545e+13	7.43782275299e+12	213945631402	4.11888569812e+12	2.30374563815e+13
Freshwater sedimental ecotoxicity (FSETP inf) | Problem oriented approach: non baseline (CML, 1999) | FSETP inf. (Huijbregts, 1999 & 2000)	10886233058.2	26546210043.8	4596136693.23	325699767.489	2412047510.02	13103104124.2
Marine sedimental ecotoxicity (MSETP inf) | Problem oriented approach: non baseline (CML, 1999) | MSETP inf. (Huijbregts, 1999 & 2000)	1.53032753024e+13	3.04971001444e+13	7.0946079094e+12	188508261679	3.96574540348e+12	2.21291189409e+13
Terrestrial ecotoxicity (TETP inf) | Problem oriented approach: baseline (CML, 1999) | TETP inf.(Huijbregts, 1999 & 2000)	47867606979.1	84507017675.6	29700202289.4	1068246226.01	17956588900.2	87991852917.2
human toxicity (HTP20) | Problem oriented approach: non baseline (CML, 1999) | HTP 20 (Huijbregts, 1999 & 2000)	2.52839622151e+12	1.98012362158e+12	692266776735	17837949428.6	354582418544	2.40408574325e+12
