impact	Europe	Asia	America	Oceania	Africa	Other
Methane (CH4) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	60009.9330576	104408.019323	75542.2799003	5955.37863128	35173.6556679	41206.6034811
Nitrous Oxide (N2O) IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	100.774612164	153.211284333	277.501528056	9.75120857032	59.5343570199	73.7509728311
Carbon dioxide (CO2) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	5029837.55165	6996700.73239	6130728.61052	282010.768229	751849.709438	2927732.76807
Methane (CH4) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	1469395.59818	2553787.1908	1846044.9101	145648.175213	855768.585847	1009275.63806
Nitrous Oxide (N2O) CO2EQ IPCC categories 1 to 4 and 6 to 7 (excl land use, land use change and forestry)	397795.355332	718103.406777	589439.537243	41482.4437309	298729.08414	270980.021555
Carbon dioxide (CO2) Fuel combustion and cement	4962932.90445	6849278.62421	6045872.8329	277448.490958	741995.914017	2891628.3544
Carbon dioxide (CO2) Fuel combustion	4791328.20194	6220134.9375	5854634.16891	264680.937854	694590.876756	2722554.33245
GHG emissions (GWP100) | Problem oriented approach: baseline (CML, 1999) | GWP100 (IPCC, 2007)	7.11994984819e+12	1.05048601079e+13	9.0113136672e+12	480522141921	1.91789699536e+12	4.26681448877e+12
GHG emissions (GWP100min) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 min(Houghton et al., 2001)	7.1511040907e+12	1.05806985577e+13	9.03325373052e+12	476791242961	1.89915739085e+12	4.26780468044e+12
GHG emissions (GWP100max) | Problem oriented approach: non baseline (CML, 1999) | net GWP100 max(Houghton et al., 2001)	7.26766220183e+12	1.09140006457e+13	9.18577385752e+12	483932433548	1.97347409717e+12	4.34399417718e+12
GHG emissions (GWP20) | Problem oriented approach: non baseline (CML, 1999) | GWP20 (IPCC, 2007)	9.86121488698e+12	1.52780400247e+13	1.24544885516e+13	752944875163	3.51676057501e+12	6.15395082885e+12
GHG emissions (GWP500) | Problem oriented approach: non baseline (CML, 1999) | GWP500 (IPCC, 2007)	5.91622801709e+12	8.38512418333e+12	7.45173282248e+12	359096596166	1.17724463401e+12	3.43465366191e+12
ozone layer depletion (ODP steady state) | Problem oriented approach: baseline (CML, 1999) | ODP steady state (WMO, 2003)	266197.044644	469435.18477	483059.799498	17370.7181047	229062.419265	212094.651363
human toxicity (HTP inf) | Problem oriented approach: baseline (CML, 1999) | HTP inf. (Huijbregts, 1999 & 2000)	3.36486115384e+13	6.50449134554e+13	3.66513843789e+13	1.49261197134e+12	7.55818113623e+12	1.99461073586e+13
Freshwater aquatic ecotoxicity (FAETP inf) | Problem oriented approach: baseline (CML, 1999) | FAETP inf. (Huijbregts, 1999 & 2000)	31180504613.5	58350007959.8	28786752712.9	1288296562.78	8968129945.55	17208834356.2
Marine aquatic ecotoxicity (MAETP inf) | Problem oriented approach: baseline (CML, 1999) | MAETP inf. (Huijbregts, 1999 & 2000)	1.03550287226e+14	1.32275046663e+14	7.94983356286e+13	3.29396515513e+12	1.6063325702e+13	4.5926720218e+13
Freshwater sedimental ecotoxicity (FSETP inf) | Problem oriented approach: non baseline (CML, 1999) | FSETP inf. (Huijbregts, 1999 & 2000)	67982234100.2	117445191520	52372902003.4	2523829893.06	20228751667.5	33504291614
Marine sedimental ecotoxicity (MSETP inf) | Problem oriented approach: non baseline (CML, 1999) | MSETP inf. (Huijbregts, 1999 & 2000)	9.56977485777e+13	1.2517119007e+14	7.5357402203e+13	3.04205275696e+12	1.55834724995e+13	4.36048963055e+13
Terrestrial ecotoxicity (TETP inf) | Problem oriented approach: baseline (CML, 1999) | TETP inf.(Huijbregts, 1999 & 2000)	267956429749	314425724845	263958077416	10807026469.3	57929998624.3	132047938330
human toxicity (HTP20) | Problem oriented approach: non baseline (CML, 1999) | HTP 20 (Huijbregts, 1999 & 2000)	1.53345261864e+13	1.19372786958e+13	7.84354579474e+12	319813893141	1.34132007414e+12	4.33613383959e+12
Freshwater aquatic ecotoxicity (FAETP20) | Problem oriented approach: non baseline (CML, 1999) | FAETP 20 (Huijbregts, 1999 & 2000)	6454351098.18	17133562714.6	4943478033.56	321774094.073	3668997551.15	3837655884.78
Marine aquatic ecotoxicity (MAETP20) | Problem oriented approach: non baseline (CML, 1999) | MAETP 20 (Huijbregts, 1999 & 2000)	301960963666	613299766066	227810285163	12408842995.6	119259542314	156159044312
Freshwater sedimental ecotoxicity (FSETP20) | Problem oriented approach: non baseline (CML, 1999) | FSETP 20 (Huijbregts, 1999 & 2000)	20020684045.8	54516378006.6	15317623230.3	1014201531.12	11817465746.1	12064843087.5
Marine sedimental ecotoxicity (MSETP20) | Problem oriented approach: non baseline (CML, 1999) | MSETP 20 (Huijbregts, 1999 & 2000)	719943899374	1.66517978804e+12	546103140028	32203282382.7	342624905036	397352900973
Terrestrial ecotoxicity (TETP20) | Problem oriented approach: non baseline (CML, 1999) | TETP 20 (Huijbregts, 1999 & 2000)	1548050936.99	2124270480.08	1121565360.9	55699895.4448	228553664.406	643384583.61
human toxicity (HTP100) | Problem oriented approach: non baseline (CML, 1999) | HTP 100 (Huijbregts, 1999 & 2000)	1.53387821203e+13	1.19413609292e+13	7.84807148415e+12	320016787555	1.34235229998e+12	4.33818238e+12
Freshwater aquatic ecotoxicity (FAETP100) | Problem oriented approach: non baseline (CML, 1999) | FAETP 100 (Huijbregts, 1999 & 2000)	8335749770.09	20260446368.9	6303255620.72	390174592.014	4196922037.22	4711436194.51
Marine aquatic ecotoxicity (MAETP100) | Problem oriented approach: non baseline (CML, 1999) | MAETP 100 (Huijbregts, 1999 & 2000)	1.07886734317e+12	1.55942072827e+12	803356722660	36105610957.1	247328088869	478844313742
Freshwater sedimental ecotoxicity (FSETP100) | Problem oriented approach: non baseline (CML, 1999) | FSETP 100 (Huijbregts, 1999 & 2000)	25155719370.5	63913461192.2	19091607212.7	1210746800.96	13515076607.5	14576922291
Marine sedimental ecotoxicity (MSETP100) | Problem oriented approach: non baseline (CML, 1999) | MSETP 100 (Huijbregts, 1999 & 2000)	1.65163435764e+12	2.85454513273e+12	1.24446769012e+12	61613409727.3	514821219476	793156413924
Terrestrial ecotoxicity (TETP100) | Problem oriented approach: non baseline (CML, 1999) | TETP 100 (Huijbregts, 1999 & 2000)	7285422720.94	9759723322.01	5300702292.24	260036742.191	1012071928.84	3006940821.83
human toxicity (HTP500) | Problem oriented approach: non baseline (CML, 1999) | HTP 500 (Huijbregts, 1999 & 2000)	1.5342893043e+13	1.19457280237e+13	7.85206625491e+12	320176621298	1.34327974415e+12	4.34015615801e+12
Freshwater aquatic ecotoxicity (FAETP500) | Problem oriented approach: non baseline (CML, 1999) | FAETP 500 (Huijbregts, 1999 & 2000)	12913010640	25894884362.2	9725884660.15	527719289.507	4856424055.58	6654716980.54
Marine aquatic ecotoxicity (MAETP500) | Problem oriented approach: non baseline (CML, 1999) | MAETP 500 (Huijbregts, 1999 & 2000)	5.02538646141e+12	6.05927799312e+12	3.74120812948e+12	153027793427	811357064377	2.08540138264e+12
Freshwater sedimental ecotoxicity (FSETP500) | Problem oriented approach: non baseline (CML, 1999) | FSETP 500 (Huijbregts, 1999 & 2000)	36670267182	78171009738.6	27768130411.2	1557524516.01	15193782530.1	19502814364.7
Marine sedimental ecotoxicity (MSETP500) | Problem oriented approach: non baseline (CML, 1999) | MSETP 500 (Huijbregts, 1999 & 2000)	5.57418086639e+12	7.3403325219e+12	4.18238831917e+12	178312729336	1.08103276784e+12	2.39824351661e+12
Terrestrial ecotoxicity (TETP500) | Problem oriented approach: non baseline (CML, 1999) | TETP 500 (Huijbregts, 1999 & 2000) TETP 500	29999954028.6	39525528137.4	22326084803.6	1074479624.84	4258322646.05	12501717357.5
photochemical oxidation (high NOx) | Problem oriented approach: baseline (CML, 1999) | POCP (Jenkin & Hayman, 1999; Derwent et al. 1998; high NOx)	4273886360.2	9557128858.09	6457430790.45	291635943.402	2904689210.01	3133343292.59
photochemical oxidation (low NOx) | Problem oriented approach: non baseline (CML, 1999) | POCP (Andersson-Skï¿½ld et al. 1992; low NOx)	2742592990.09	7381102174.86	3567295114.93	183605300.797	1725949330.32	1806387113.5
photochemical oxidation (MIR; very high NOx) | Problem oriented approach: non baseline (CML, 1999) | MIR 1997; very high NOx (Carter, 1994, 1997, 1998;Carter, Pierce, Luo &  Malkina, 1995 )	1167568184.75	3075022655.11	1515528201.66	80433232.7289	731456624.249	771000076.029
