region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Employment: Low-skilled male	10069.9421318	314.235312288	4229.35711614	152.549355457	59.7693647861	6116.24659553	1961.20971277	6480.74124674	48182.6895361	4165.79871915	19212.0018011	106.489586806	76.6189169908	39466.5762703	7613.78478973	13125.2224739	261.290913618	822.613321631	5482.1999458	105.481326052	21.0344953346	12050.1461899	1629.66147473	9815.44484686	45.0537512335	5.30543586297	83.6968048892	0.518917752147	0	176.865237698	54.9420439045	172.477668237	78006.362333	1762.79657425	13269.4553452	415.742686404	116.924337069	6278.52420891	2028.62872175	9893.82909949	12790.7863791	6436.16059382	19778.023873	1235.17891425	443.491598052	13103.0363395	5528.67031313	8518.62510601
Employment: Low-skilled female	5022.90576976	185.848704271	3002.0094117	69.5464273499	23.624483252	3272.55363743	763.603970046	13512.5642763	24369.9339042	854.795737117	6840.10212645	20.9114395456	12.2511077189	9333.90962108	889.365948908	6367.48674314	111.240373888	59.0689648116	2221.89903975	18.3802768721	3.69565852241	4123.5185177	318.005849021	12854.9123924	25.8130487964	1.46804986111	38.3948613765	0.018781212964	0	81.9422788987	14.9385120962	159.474330178	44005.0021606	359.019170651	7003.76019842	213.431926725	62.3800174243	5379.68806167	1061.65774325	13297.8321448	5968.33978933	2229.2592799	7262.10658171	104.963153804	37.7261993098	3477.54348866	152.067424364	2705.23972898
Employment: Medium-skilled male	20334.3218639	3115.34149725	37412.1578021	1182.58880056	533.525623942	37917.8793784	17825.9938055	23789.5371788	310415.571733	5684.17311465	104437.487316	476.330038764	321.317138372	78116.5340069	28429.3952648	47695.7708484	33075.1667933	3763.78568404	33971.8618199	1229.57480064	243.663009028	43108.7434333	13660.8707164	28539.0737396	182.417141325	72.0163793991	674.704300802	5.19518041005	0	1169.77671459	276.084151776	634.501055949	30146.7334103	6423.73787366	16191.0110135	762.73579231	144.176852618	15762.5420083	8146.18930925	12527.9610725	81748.4387171	9690.64307185	99884.2440897	4787.46955696	1697.03875755	30875.2174656	20159.8104394	27597.5118752
Employment: Medium-skilled female	7372.97850467	573.534520858	15216.8362166	279.702987472	116.090661117	23550.364924	5170.08176666	33329.4299539	176261.15064	2736.69055399	33869.3918939	95.690999353	74.3466489018	45877.7597803	5214.66017928	22336.2130579	7029.26606289	378.733516867	14018.629609	340.8260681	65.889341234	26325.7628254	2669.2649486	38428.5606139	66.5287147974	9.10190913888	367.856087165	1.5389277193	0	660.553513655	81.6235014577	1090.35901002	9370.25477259	619.776829987	5064.58404599	235.658569563	43.3765204155	7480.12942079	1743.88868516	8758.12477811	41731.5725532	7094.82046986	41507.8007416	705.169116243	256.445662048	20863.0467454	1048.66598478	11724.9109203
Employment: High-skilled male	2254.08475363	630.148168969	14211.9324905	756.885420041	369.078278622	13647.13935	5291.56983942	39738.9979117	2218.26901703	773.576218591	12021.9577221	274.027394051	153.519704128	9614.70685614	2410.77662906	52636.7372565	1140.85101248	1083.77106465	8118.4080307	522.84571853	101.215099802	7368.64029635	1761.66185608	37834.8303173	12.0950734203	35.1730747952	332.227138862	4.87913424204	0	412.312829696	105.43488467	1401.00942821	6873.01062457	967.506625253	4492.20904909	325.189951235	54.3372665804	3817.79891842	2897.69140247	10696.4161656	591.569171213	1392.18538647	9143.5977036	1970.13532245	690.078799803	3968.2413259	1234.7551212	20233.2528694
Employment: High-skilled female	857.723592664	432.581541886	6878.82796882	320.064639323	153.204853902	9103.17843937	2880.44794106	54583.463233	492.211581661	144.244337694	1995.54673651	33.8439067377	13.3866612143	4968.81225495	1000.91774815	32369.7494493	317.081075721	256.642134601	2443.15349805	132.940522315	24.5785255022	3851.65325555	899.099929231	43156.7007158	20.2128169834	9.59125909257	171.994830161	1.35971258767	0	244.433102947	55.701163105	1771.92853218	2397.5883412	185.715442966	1231.94945888	102.096690546	17.3724213419	1745.36229772	1093.55038874	9510.93970938	77.9737847431	395.199605371	1290.74427877	73.2554779687	23.8406195884	830.118987011	177.611303759	14714.7283062
Employment hours: Low-skilled male	22019.9301936	643.080901252	8423.82052821	315.0986378	121.200595146	11822.7648132	3791.21400674	11603.2459174	99757.994688	9829.22612771	47048.5017017	247.693882199	179.259297924	99796.3318283	18573.0410342	31148.4059643	535.81348874	1956.6352138	12300.1629237	228.777104125	45.97455338	27003.3553712	3661.88716154	20488.3234526	95.5790794858	12.4147199193	157.892208996	1.03235172488	0	312.155735004	106.858702705	303.397602377	183751.083558	3917.01577553	30784.2024182	960.616475368	272.092621283	13444.9147713	4305.29552156	21367.1001748	20440.0749872	15081.1875278	45190.6581506	2854.80901608	1021.28260877	30588.0167579	12803.6558429	20010.5790385
Employment hours: Low-skilled female	10921.0554601	383.581429383	5944.78320316	142.42598901	47.259965646	6134.23004266	1493.63566308	23226.7701371	50005.1051216	2014.78942163	16484.3225893	46.4208602853	27.608595225	23527.7805664	2159.12880716	15156.4615824	224.954380539	140.898970612	4933.97197557	37.1273423345	7.55195632966	9592.06010539	705.359335741	25712.0103629	54.7618160047	3.43523667499	71.9937313142	0.0376950612101	0	124.648391698	29.0550809242	273.225423913	103657.632613	802.336360049	16285.7344803	495.063709034	145.514250773	11486.8980501	2251.14255308	28149.4081809	9711.89574765	5177.35840613	16479.5206802	231.625306422	82.417864834	8025.48380389	358.455232542	6310.07694482
Employment hours: Medium-skilled male	43194.1142554	6408.73357235	74143.6297193	2393.29792644	1064.8483453	72578.6536809	34669.7675442	43871.5685987	642699.163578	13420.5487058	254683.515408	1095.04256526	748.533272227	196553.503268	69328.7389698	112093.978756	69190.6432369	8891.99926994	75768.1446697	2393.81304556	476.266883524	88301.2025615	30786.4631852	60075.5676545	386.857359873	168.518327794	1249.30874942	10.3443021448	0	2104.06670913	536.93940817	1114.85817166	71011.9072582	14230.1850033	36322.7298558	1699.64607495	323.251121255	33386.6278157	17171.0921066	26770.8826703	130679.659555	22945.1668743	227190.006155	11035.9866131	3888.03620758	72436.523238	47315.608866	64343.4712275
Employment hours: Medium-skilled female	15014.4393303	1173.07369783	30119.9342135	561.681147329	229.025392809	43862.6934767	9997.14351899	58542.3618574	361635.400862	6449.26756304	82698.6335559	216.94972249	168.793651269	115995.780441	12823.6565663	50455.0312588	15247.5170016	887.190565059	31275.8095486	694.738235045	134.602850969	53624.34419	5597.77755769	73964.2347121	141.076633591	21.298467385	653.577585337	3.05952104346	0	1060.85536169	158.703370528	1823.56829565	22071.8965107	1373.84176801	11345.2197632	525.127042583	97.2727550841	15889.2932165	3672.48205904	18516.1981209	66976.6942711	16448.3995815	93443.7735142	1543.97752605	556.973005308	48047.9122839	2502.43338132	27015.5407026
Employment hours: High-skilled male	4848.6968619	1300.14440864	27612.3073793	1513.04453107	720.028035764	25488.1606687	10242.2299168	70433.3959107	4578.34245766	1827.7306974	28856.6459363	618.312481399	353.87396071	24054.0141764	5802.1756507	119999.816212	2085.67546981	2559.11346327	16960.0835973	1019.93318029	198.105668895	14726.9048261	3980.48691386	77171.2432344	25.6075571507	82.3049950208	614.439289216	9.70392145745	0	720.534928115	204.997744562	2455.00538392	16189.3543288	2143.54232206	10046.8103766	721.109764873	120.982261202	8107.05375427	6105.83920742	22604.6330567	947.772894473	3321.24178431	21483.4404985	4613.28004402	1606.84310944	9771.49046845	2987.1805478	48071.9673677
Employment hours: High-skilled female	1783.84786376	891.417297144	13510.3745858	645.756380173	305.040576898	16892.2198885	5573.05319426	96069.5401189	1003.82296975	340.412891709	4628.76183335	73.6259592087	29.8004007161	11592.5077609	2377.88791712	69843.264504	564.838218089	599.263678054	4963.73666508	248.95329475	45.7680542114	7536.39568154	2008.20021241	81021.9508688	42.8578247427	22.4435462766	313.544342205	2.70403148147	0	409.756311866	108.296260871	2988.45494518	5647.44457362	411.560623403	2760.68987266	226.338560089	38.6493786433	3705.67122331	2301.53085842	19999.5328992	126.477545789	926.03735651	3046.07811598	174.07495812	55.8607909269	1997.58414942	467.801104899	34683.4977102
