region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Employment: Low-skilled male	10210.9754138	340.295679027	4300.3150731	157.429493504	68.5996500471	6208.95018322	2056.54045924	6659.31468578	48950.5985983	4981.70000094	19729.3619628	112.114281611	80.5775080036	40135.386367	7909.08739101	13473.4566825	263.736624618	852.72586885	5543.44075221	107.324982998	21.3962005819	12225.2924526	1690.22630342	10008.234384	45.8475109303	6.17663459457	85.729839549	0.626508863333	0	179.947568607	56.2293878409	176.939532172	79036.926925	1838.478477	13489.5480166	425.145085921	118.059984923	6361.50550389	2100.66242506	10082.4231833	12955.8378856	6635.06304699	20127.0659391	1279.13127018	465.212973239	13346.548682	5787.72803786	8723.94526102
Employment: Low-skilled female	5093.25343177	201.26162956	3052.37556636	71.7712559315	27.1147483235	3322.15553925	800.721334903	13884.895925	24758.3284349	1022.21355651	7024.29929543	22.0159650576	12.8840731381	9492.08429914	923.860235975	6536.42686674	112.281595728	61.2312407501	2246.71952976	18.7015368183	3.75920837508	4183.45296547	329.824235888	13107.4014694	26.2678246414	1.70911642189	39.3274905735	0.0226752627702	0	83.370333514	15.2885355318	163.59980781	44586.364959	374.432891301	7119.9274601	218.258884145	62.985894136	5450.78971982	1099.35569068	13551.3126169	6045.35487227	2298.15208223	7390.26805537	108.698141378	39.5739568167	3542.17162057	159.192870218	2770.44276745
Employment: Medium-skilled male	20619.1115986	3373.70501899	38039.8395538	1220.42046876	612.348336385	38492.5984322	18692.4821188	24445.0454464	315362.803464	6797.45881155	107249.88531	501.489410447	337.918301455	79440.315586	29532.036672	48961.2197999	33384.7539049	3901.56265793	34351.3562262	1251.06594231	247.852992554	43735.3196741	14168.5640673	29099.6224362	185.630977484	83.8420955152	691.093184828	6.27233614585	0	1190.16307751	282.553063987	650.915107732	30545.010616	6699.52732783	16459.5618147	779.985756964	145.577195243	15970.8706066	8435.4488359	12766.7664245	82803.3154517	9990.12172092	101646.998708	4957.82590256	1780.15648902	31449.0155025	21104.4416667	28262.6808837
Employment: Medium-skilled female	7476.23980871	621.099257751	15472.136391	288.650840361	133.241816353	23907.3164114	5421.3897991	34247.8049826	179070.303392	3272.69084622	34781.4610395	100.745321406	78.1878409694	46655.2153351	5416.91211551	22928.8303254	7095.06074778	392.597419396	14175.2295489	346.783201666	67.0223620212	26708.4020812	2768.465658	39183.3531402	67.7008216928	10.5965218157	376.791484114	1.85800515049	0	672.065354752	83.5360171232	1118.56575465	9494.04791584	646.385623343	5148.58733043	240.988202755	43.7978223747	7578.99195684	1805.81167718	8925.07030569	42270.0741524	7314.07808093	42240.3293614	730.261711036	269.005882952	21250.7743875	1097.80348234	12007.5105766
Employment: High-skilled male	2285.65404831	682.408025647	14450.3729121	781.098602223	423.605652227	13853.9882335	5548.78318051	40833.9852366	2253.62256198	925.086618124	12345.697125	288.501301839	161.451449249	9777.6399917	2504.27922065	54033.2783499	1151.52950042	1123.44354077	8209.09750929	531.984285297	102.955575726	7475.74188569	1827.13235421	38577.9611216	12.3081651507	40.9487997196	340.29709194	5.89076175441	0	419.498439461	107.905323514	1437.252459	6963.81195382	1009.04445406	4566.71868525	332.54441817	54.8650266831	3868.25757521	3000.5842781	10900.3089949	599.202742758	1435.20934223	9304.96368509	2040.24021813	723.877547253	4041.98879296	1292.61222502	20720.924831
Employment: High-skilled female	869.736330341	468.456674901	6994.23737161	330.303683724	175.839234712	9241.15477626	3020.46114342	56087.482044	500.056177671	172.495616248	2049.28483174	35.6315148234	14.0782961115	5053.01494285	1039.73860044	33228.5732982	320.048988627	266.036765338	2470.44558734	135.264125237	25.0011732293	3907.63620066	932.514128463	44004.360754	20.5689276077	11.1662272897	176.172665282	1.64163200091	0	248.692977403	57.0062939206	1817.76695342	2429.26357353	193.688738523	1252.38308183	104.405700194	17.5411539898	1768.43020649	1132.38079837	9692.23523643	78.9799535792	407.412813829	1313.52330122	75.8621860373	25.0082878036	845.546267667	185.933662958	15069.3900338
Employment hours: Low-skilled male	22328.3274994	696.413303673	8565.15101369	325.178817072	139.106688556	12001.9617598	3975.49784897	11922.9672963	101347.882444	11754.3499124	48315.4712087	260.776874953	188.520904242	101487.504477	19293.4012075	31974.8255181	540.82876051	2028.25971673	12437.5661385	232.775788186	46.7651232003	27395.8432878	3797.97773746	20890.7437664	97.2629974522	14.4533249513	161.727484833	1.24639695412	0	317.595850218	109.36250295	311.246263793	186178.672216	4085.1844748	31294.8019243	982.341691902	274.735367943	13622.6120138	4458.17040543	21774.3953324	20703.832435	15547.2550152	45988.181745	2956.39396103	1071.30308901	31156.4773359	13403.5986435	20492.8840043
Employment hours: Low-skilled female	11074.0089005	415.392853285	6044.52168801	146.982274979	54.2421207948	6227.2062044	1566.23850702	23866.7716528	50802.0588357	2409.40024718	16928.2290541	48.8727729985	29.0350202023	23926.4879964	2242.87117326	15558.587978	227.059977688	146.056712158	4989.08861225	37.7762731468	7.68181835809	9731.47861967	731.573348898	26217.0314448	55.7266129701	3.99933242722	73.742492826	0.0455106610909	0	126.820709986	29.735868889	280.293554398	105027.083548	836.782956587	16555.8564041	506.260025725	146.927583109	11638.7167966	2331.07740416	28685.9862635	9837.21744228	5337.35896437	16770.3508452	239.867414342	86.4545351385	8174.63277287	375.25142253	6462.16556949
Employment hours: Medium-skilled male	43799.0638781	6940.22682184	75387.5730284	2469.86084756	1222.16831486	73678.7240397	36355.0002852	45080.4267497	652942.147454	16049.0585378	261541.889985	1152.88183775	787.206973195	199884.346223	72017.6719416	115068.020382	69838.2750847	9217.49940571	76614.5388775	2435.65334294	484.456679767	89584.6413989	31930.6129967	61255.5387165	393.673036088	196.190503506	1279.6550451	12.4890639256	0	2140.73547421	549.520405201	1143.69869066	71950.0660832	14841.1275779	36925.1936673	1738.085119	326.390753697	33827.8884558	17780.8130186	27281.1835902	132365.9417	23654.2619805	231199.449649	11428.6889222	4078.46482804	73782.7140748	49532.6833673	65894.3096929
Employment hours: Medium-skilled female	15224.7221331	1270.35980663	30625.2708254	579.649637127	262.861448417	44527.517726	10483.0860207	60155.4660516	367398.945908	7712.4024445	84925.6257701	228.408833317	177.514539754	117961.472843	13321.0253843	51793.6880257	15390.2353974	919.667024021	31625.1867725	706.881227752	136.917456416	54403.7624082	5805.8136708	75416.9992883	143.5621302	24.7958610488	669.453291532	3.69387449813	0	1079.34349035	162.421940265	1870.74259765	22363.494713	1432.82472759	11533.3962677	537.003268944	98.2175335473	16099.297046	3802.8866423	18869.1499848	67840.9573403	16956.7192512	95092.8668707	1598.91810915	584.252484041	48940.8549094	2619.69027337	27666.6827514
