region	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
stressor																																																
Employment: Low-skilled male	1624.01118925	74.9460821669	959.668578813	12.8927199602	4.64692395391	567.636808076	254.40402829	425.199907507	8135.998798	1107.74944952	5425.92475912	17.0991000131	8.29015608723	2499.60623385	896.238109413	685.338233463	51.9355616995	163.279165784	761.142782576	5.10800441968	0.976261871134	732.515384016	111.13435261	330.351481188	17.9963220678	3.19854546742	29.9151974039	0.0638314133975	0	20.9731197289	7.75038216245	11.0494483645	22628.5743132	1169.52386242	3903.31781711	53.9836673824	4.51596176008	860.065646538	476.018490546	818.395094423	5485.5723857	4768.47176535	10896.6560907	312.087081298	74.4393656793	2780.85290777	1955.46448882	1026.76039428
Employment: Low-skilled female	810.059786425	44.3254838533	681.175419006	5.87772140608	1.83674659277	303.719261805	99.0531123383	886.556161047	4115.04120796	227.303230684	1931.80699581	3.3577630164	1.32556813931	591.16094883	104.689543852	332.480620791	22.1107241026	11.7245017125	308.486088512	0.890077315217	0.171524462401	250.664241154	21.6863285444	432.648689451	10.3107938179	0.885059088543	13.723222277	0.00231025314484	0	9.71691921242	2.10729651568	10.2164146511	12765.2467282	238.1905509	2060.21281642	27.7138685007	2.40929972614	736.938289473	249.118387708	1099.96650279	2559.63620739	1651.6306234	4001.04067137	26.5205663217	6.3322830882	738.037861743	53.7855273346	326.06588225
Employment: Medium-skilled male	3279.37994086	743.018466421	8489.06141581	99.946579178	41.4803304468	3519.0837523	2312.35068991	1560.82593378	52415.9349097	1511.50837168	29495.6222718	76.4846142837	34.7664693685	4947.49212683	3346.49693517	2490.45190677	6574.19480044	747.067632532	4716.6169951	59.5429897504	11.3089903673	2620.53399625	931.599627715	960.51940882	72.8649121571	43.4172931041	241.155111888	0.639052541673	0	138.715031911	38.9457241339	40.6480834683	8745.15330384	4261.81604783	4762.71709136	99.0402878013	5.56853405739	2159.23685764	1911.50637725	1036.28451449	35059.3751401	7179.67757371	55030.9911506	1209.62832477	284.845280496	6552.63681201	7130.42941301	3326.36215604
Employment: Medium-skilled female	1189.06339609	136.789735733	3452.7988971	23.6391184919	9.02576890188	2185.663015	670.652209941	2186.73605288	29762.9817586	727.727780208	9565.51919767	15.3651640256	8.04429699825	2905.65701864	613.831006442	1166.29343463	1397.17403968	75.1741931019	1946.33155558	16.5047324238	3.05808390159	1600.31471499	182.029848903	1293.36287013	26.5743061448	5.48736634897	131.480377039	0.189301543516	0	78.3300783664	11.5141935898	69.8517419853	2718.18221122	411.189698594	1489.78843732	30.5999702488	1.67532878433	1024.66792074	409.204134147	724.452209824	17897.379819	5256.46471955	22868.625939	178.171897829	43.0440001522	4427.75725441	370.908189082	1413.21797938
Employment: High-skilled male	363.523326499	150.292263798	3224.77971966	63.9682267638	28.69494598	1266.56414175	686.411389033	2607.26629766	374.570913951	205.705721298	3395.28586001	44.000751226	16.6108104848	608.945175016	283.778691927	2748.44625288	226.761571339	215.115936837	1127.15109621	25.319156869	4.69763791087	447.931692386	120.136085272	1273.3801097	4.83126999963	21.2051718026	118.745756844	0.600176104088	0	48.8930807179	14.8731388818	89.7529604465	1993.76598296	641.890335968	1321.41969382	42.2255080791	2.09866503565	522.982405716	679.944374584	884.783275496	253.705707661	1031.45293079	5037.64381357	497.785199742	115.82863881	842.178495424	436.72703474	2438.73893207
Employment: High-skilled female	138.327777214	103.172019548	1560.85071075	27.0502864571	11.9113078749	844.8480734	373.645691592	3581.20817271	83.1135180562	38.3567705618	563.589705941	5.43433741739	1.44843486847	314.698543958	117.820591867	1690.1981623	63.0247089109	50.9404753615	339.204821085	6.43773453516	1.14074889436	234.137845227	61.3138925576	1452.49453561	8.07383079923	5.78238604514	61.4749786867	0.167256517871	0	28.9854852232	7.85746707398	113.515175744	695.507447454	123.212539293	362.387916271	13.2571274577	0.670974002728	239.089012494	256.602008934	786.723352833	33.4405428813	292.798498797	711.132547779	18.5091309806	4.00161041913	176.175867869	62.8202764217	1773.58435774
Employment hours: Low-skilled male	3551.22328934	153.376759965	1911.41954971	26.6305844743	9.4230539479	1097.24753186	491.788363653	761.286233012	16844.8655043	2613.74122137	13287.6122388	39.7723626449	19.3958309284	6320.57697239	2186.28023279	1626.42527098	106.501118307	388.369306759	1707.74147723	11.0786857042	2.13379036641	1641.50483469	249.721469973	689.561003627	38.1782171357	7.48459639376	56.434371741	0.126988274057	0	37.0162033506	15.0739893257	19.4365808376	53303.6655611	2598.73628409	9055.4225971	124.73484678	10.5090172304	1841.75594944	1010.23920915	1767.4380454	8766.11551381	11173.4652773	24897.6876327	721.311708948	171.420676085	6491.68430433	4528.59239381	2411.89978051
Employment hours: Low-skilled female	1761.27290837	91.4853429901	1348.90989133	12.0371429027	3.67434834229	569.305816408	193.751299012	1523.90292066	8443.72697083	535.763252901	4655.56348582	7.45382676863	2.9872461365	1490.12639378	254.156582246	791.400117375	44.7131205148	27.9668050302	685.027396987	1.79791661552	0.350504583059	583.090983367	48.1018017242	865.370937359	21.8741225948	2.07103826719	25.73224494	0.00463682158722	0	14.7811162731	4.09864586245	17.5036585562	30069.655507	532.30845378	4790.5807667	64.283402873	5.6201883073	1573.53640273	528.231444537	2328.45517489	4165.13148975	3835.84079652	9079.3534554	58.5237207357	13.8337087012	1703.24567483	126.783916994	760.561359513
Employment hours: Medium-skilled male	6966.05044419	1528.50253971	16823.6707866	202.269749711	82.7893905307	6735.88199338	4497.28984397	2878.40328755	108524.444623	3568.72869848	71928.6624217	175.831674285	80.991195216	12448.6694434	8160.86344154	5853.027599	13752.6976009	1764.9583161	10519.5682454	115.922012685	22.1046995172	5367.73482113	2099.47508013	2021.92086732	154.52674754	101.596465864	446.532193275	1.27243946421	0	249.50546293	75.7431889251	71.4212334114	20599.5789633	9440.9877868	10684.6253236	220.696915132	12.4849089512	4573.47788788	4029.2032041	2214.42667246	56044.4612696	16999.7902936	125169.803628	2788.41292674	652.600748923	15373.1784799	16735.3066224	7755.39797383
Employment hours: Medium-skilled female	2421.42577917	279.781661411	6834.40855593	47.4705233446	17.8061719028	4070.81024774	1296.80857996	3840.95057946	61064.7768951	1714.95866085	23356.0546164	34.83575356	18.2634494262	7346.56520252	1509.5054607	2634.52768598	3030.67699153	176.096996663	4342.29997856	33.643168018	6.24724430305	3259.76601925	381.739026525	2489.36190599	56.3518123316	12.8404372566	233.603929206	0.376347796381	0	125.798867008	22.3874411043	116.823377355	6402.75402531	911.472573953	3337.28832785	68.1870890995	3.75695987052	2176.59991243	861.74929279	1531.61789608	28724.2311529	12186.4157748	51482.6289191	390.109832783	93.487041012	10197.1919428	885.098827688	3256.21645257
