region		Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other
category		Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)	Final consumption expenditure by households	Final consumption expenditure by non-profit organisations serving households (NPISH)	Final consumption expenditure by government	Gross fixed capital formation	Changes in inventories	Changes in valuables	Exports: Total (fob)
Asia	mining	3.43817776703	0.00656173675438	0.0152437426615	1.81287904091	159.762646327	0	0	2698.36384029	247.612281767	371.997702615	368.697624305	17365.7231013	0	0	0.543079515136	0	0	27.5675333431	8.79604928229	0	0	0.227571878189	0.00565645255872	0.0330065884838	0.965872273755	1.67264401164	0	0	0.678811818033	1.49986626166e-06	0.179833199865	0.00722547189388	0.0239994577984	0	0	1465.17377279	0.000735451102658	0.431820052572	2679.7303339	0	0	0
Asia	manufactoring	125419.301885	311.575874586	1911.14167002	63707.7186315	10825.1511585	0	0	1333247.3982	15761.6868955	24340.3998954	1224301.76694	196788.972527	0	0	185062.355319	0.466820847212	0.468226875729	131917.133567	2329.62328067	0	0	10800.2573826	535.848060511	502.729483148	10818.9122319	118.43858435	0	0	22195.2841177	24.075415961	29.3631446382	18278.21565	31.7016902381	0	0	221125.769684	68.1132756481	1164.67412779	244779.845273	0	0	0
Asia	electricity	0	0	0	0	0	0	0	63656.202814	3252.0359422	3463.05740119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Asia	gas	2.64393428404e-08	0	0	0	9.87454827619e-10	0	0	29041.4631978	0	0	0	138.799050905	0	0	0.00668860961816	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00018918913629	0	1.95959991672e-07	4.21781836628e-08	1.84939574708e-08	0	0	0.0181648348146	0	0.000638074613296	0	0	0	0
Asia	construction	19035.8717266	18.6018378742	72.7366533701	4876.61828296	375.635420243	0	0	888879.302051	6566.13319784	10652.7878002	2238374.24458	39264.5832591	0	0	13859.0332015	0.0192061722926	0.0156368008564	2157.51975878	142.361792265	0	0	1799.78604665	0.240332345674	0.240559067524	233.178300488	0.12946280897	0	0	1947.27431666	15.7217178342	18.1122681476	1415.76398658	60.2869827777	0	0	4100.09783732	10.5606767178	73.0621113894	3497.29829647	0	0	0
Asia	transport	9227.3017304	0.544863345355	185.091614999	82.343595015	44.6442961546	0	0	464230.655015	30635.630442	16608.5965123	10971.7989932	5398.42234435	0	0	4491.94013453	0.0730590927698	11.2099990092	23.6434160167	28.7570848167	0	0	508.787791508	41.8552421905	38.0647185984	0.177664882174	0.105872813588	0	0	382.149427417	0.177706381985	2.45125217856	5.15913034719	41.5462848595	0	0	368.913338545	2.88728395021	24.8068679162	10.9038568624	0	0	0
Asia	other	8773.39498038	716.604421902	1777.88574611	3389.09431563	34.0233156541	0	0	1638912.07071	732236.784096	1801486.68079	327971.039888	5.05716443511	0	0	10597.0390599	584.638539983	1834.42770778	2223.73350978	0.440050436084	0	0	284.08025712	21.6598732416	24.1661291409	60.4357163256	0.0143220756805	0	0	567.172350448	16.6681195526	65.9988961574	1158.63137584	0	0	0	833.685257406	55.292631561	114.081423459	2545.58271364	0	0	0
America	food	10576.759305	25.354977957	8.58882749801	110.563222574	261.956233102	0	0	3949.17428855	691.181609644	100.362699504	224.281407706	509.211202019	0	0	153860.306076	0	5.03757179113	9233.27479505	6922.08549752	0	0	224.705410396	0.280386295581	1.21991631067	6.26859708319	0.661459658871	0	0	731.944170336	0.000194441784447	0.0318456670241	3.91735402067e-08	0.918221052212	0	0	3487.8583522	0.0115842831035	0.337105341372	174.82455031	0	0	0
America	mining	198.092834222	0.217720728158	0.25452268273	71.6699199693	103.176391767	0	0	266.412950021	0.136455998046	14.3850621454	0.0107997834256	1641.88001303	0	0	12760.0941964	0	0	112900.420279	8153.83434956	0	0	0.0634899609798	0.118981419438	0.0261893228937	10.6456413761	2.76353957064	0	0	86.2792470531	0.0003218967087	0.88489237943	0.85023407367	48.378925417	0	0	30.6955909187	0.00141800245937	0.196607908443	154.617196761	0	0	0
America	manufactoring	45836.3836172	158.895500237	3702.17665211	34514.3332964	3886.18589053	0	0	24900.1732917	114.470499851	202.528084522	31214.3812765	2152.99911176	0	0	2088543.99743	98.4480299258	1029.27772746	926913.028234	65878.1436969	0	0	4250.34860676	629.674559569	590.756421624	5672.13891681	57.1550572101	0	0	10626.2267806	16.5420475714	17.7312798778	7393.05537195	14.9714056295	0	0	53174.1956968	29.8353970127	441.217089928	54200.402689	0	0	0
America	electricity	0	0	0	0	0	0	0	0	0	0	0	0	0	0	146757.945268	0	0.491132191501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
America	gas	2.73248453883e-07	0	0	7.66419084002e-13	8.74498374686e-06	0	0	1.42290213661e-07	0	0	5.38449738103e-13	5.31424548825e-09	0	0	40372.3934607	0.146797581884	0.123101020724	49.0995964842	3.49789569569	0	0	0	0	0	0	0	0	0	1.35266741513e-08	0	0	0	5.05193331506e-10	0	0	0.00283418949138	0	0.000249027690699	0	0	0	0
America	construction	46796.4407534	22.4115225059	60.3619407491	1172.96467468	425.160709631	0	0	14986.6275199	2.54565791108	3.97739988125	625.390867991	82.27686924	0	0	1182300.52022	857.120646068	9369.9679926	1353764.05123	45109.5782009	0	0	2613.17236389	0.347059475878	0.347385276437	129.985252617	0.187618045821	0	0	2748.16614716	3.72704381695	4.63697934877	335.230239079	15.9408513721	0	0	4399.30217414	2.68223484363	26.3311957561	566.313553328	0	0	0
