region		Europe	Europe	Europe	Europe	Europe	Europe	Europe	Europe	Asia	Asia	Asia	Asia	Asia	Asia	Asia	Asia	America	America	America	America	America	America	America	America	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Oceania	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Africa	Other	Other	Other	Other	Other	Other	Other	Other
sector		food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other	food	mining	manufactoring	electricity	gas	construction	transport	other
region	sector																																																
Europe	food	0.0987391745731	0.00378946649524	0.0306715134261	0.00127183674772	0.000679480813701	0.00299444185391	0.000475304382182	0.00147000483962	0.000191348672554	0.000113753692572	0.000331616860016	4.69408719205e-07	1.47870651299e-06	6.00780166148e-05	4.87641020018e-05	1.44737328579e-05	0.000257246969255	2.0737072513e-06	0.000131482927107	1.03760149557e-06	1.09168778775e-06	1.36947620188e-05	2.64255484323e-07	4.55552582104e-06	9.27817350368e-05	6.46354990321e-06	3.11415920434e-05	2.20804992295e-06	1.56394886031e-12	6.92670517747e-06	1.8168491606e-06	1.25718119556e-05	0.00387214087694	0.000356965877421	0.00356846324686	0.0024091707551	0.0131679800424	0.000221649469458	0.00017972514319	0.00079355818703	0.00281188836072	8.49007212872e-05	0.0052982216561	0.000303024192786	0.00245902940974	0.000235598480452	3.93207166136e-05	0.000522052414097
Europe	mining	0.00148102041543	0.0723024826876	0.028588771163	0.0185832031965	0.0614996248179	0.0055988629304	0.00111117476894	0.00105281802378	9.48840164979e-06	0.000840967276575	0.00161456079685	0.000737019951914	0.000237547779634	0.000108673865909	1.00049067465e-05	4.49511322307e-05	8.47817922362e-06	0.00197821298725	0.00131022820534	0.000403191930177	0.000637169545237	1.0038929091e-05	1.45988216052e-05	5.49095601401e-06	7.79211764286e-07	2.12151676887e-05	0.000532963081804	2.89311351842e-06	8.67663960874e-07	4.84081546637e-07	5.08009421233e-09	2.30684360856e-06	1.90536198726e-05	0.000238125736028	0.00053024655407	0.000111116492874	0.000582478399217	1.12201942941e-05	3.89663636754e-06	4.80143176673e-05	1.5018120391e-05	0.000231825130604	0.00184459118244	5.63076603507e-05	0.000223609732355	7.47642391485e-05	6.67636779665e-06	9.75917702294e-05
Europe	manufactoring	0.163871748223	0.0717120844083	0.290809984662	0.0610150279605	0.0830778492445	0.132292065334	0.0554419561791	0.0446149997216	0.00257764076141	0.00611058174621	0.0118954122469	0.00238487286027	0.0044859816291	0.00503666499336	0.0028974318007	0.00310159459193	0.00352244898184	0.00390843062538	0.0133978381821	0.00299825935465	0.0044814312552	0.00403261564251	0.00334903748707	0.00219276938807	0.00547931340265	0.00423579045874	0.00975140693234	0.00544276266692	0.00183896290814	0.00482760502816	0.00454399324286	0.00315059511858	0.0064547314617	0.0121226402772	0.0222528142767	0.0147152148473	0.0157830455099	0.0267059466659	0.0207292915903	0.0078268959295	0.00767511988101	0.00844468448606	0.036253081695	0.0103504074523	0.00906274407129	0.0255886737672	0.0134810630114	0.0107054107148
Europe	electricity	0.0144934828846	0.0168323141642	0.0137777785673	0.169587987376	0.109213365115	0.0078424616962	0.00856058461051	0.00875119287037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Europe	gas	0.00292915127919	0.00144542307483	0.00306728955927	0.0924002057759	0.0561396395793	0.00127450798962	0.000936682752416	0.00126091197807	3.51527719522e-11	2.04495724949e-09	7.77946369555e-10	1.38439457708e-08	2.72237388999e-08	3.09123679044e-10	1.10987395982e-10	2.05813115257e-10	3.07509535971e-11	9.34779882839e-10	2.84158384882e-08	9.34709139821e-09	1.86387724079e-07	3.64858061014e-10	6.37107934734e-11	9.80207591534e-11	8.02084467575e-10	7.53873440706e-09	1.4698114606e-08	4.21151817478e-07	3.41126806174e-07	4.24326602777e-09	5.93937567828e-10	1.11519490438e-09	1.41938213924e-09	7.27173132721e-08	7.17847345659e-08	1.30975545556e-07	3.5833457071e-08	1.86569289167e-09	3.98142449912e-10	2.03798103972e-09	5.92063318937e-08	1.92907208736e-08	1.34994187492e-07	1.07614380013e-07	9.72597974653e-08	1.0793949346e-08	5.94189773004e-09	7.97505254385e-09
Europe	construction	0.0745368338093	0.0368613473158	0.0636339946998	0.0484967535625	0.052266586702	0.109649092605	0.0433230894561	0.0444393134939	0.000718328499951	0.00269612757259	0.00104306407497	0.000745354105931	0.000795235558657	0.00164687152934	0.00322384029325	0.00231143765599	0.00329240615545	0.000432184065238	0.000899063381807	0.00104732865687	0.000569299929893	0.000525128647836	0.000623584869552	0.00105606576171	0.000648277069428	0.00222994948926	0.00139826253948	0.000749428493747	0.000547288878485	0.00115634008457	0.00139085140426	0.00120980267368	0.00126244827442	0.00229348044267	0.00421533843548	0.00644340013579	0.0111898556699	0.00124390515867	0.00441660720865	0.00384057871724	0.00231421407983	0.00117451104769	0.00273487459138	0.00278903843832	0.00305698523451	0.00283289066889	0.00291593032561	0.00298810013924
Europe	transport	0.0226462671909	0.0490577960523	0.0412340450218	0.0307134330979	0.111862580569	0.0385504897065	0.214752062209	0.0331819973132	0.0033599373911	0.000748642482687	0.000690519396781	0.000270549807073	0.000286367399913	0.00118617267262	0.00853514614328	0.000695399177263	0.000436174643055	0.00060871787464	0.000707810622669	0.000416532793743	0.000437516865673	0.00037492171452	0.00400337510963	0.00123489072831	0.000405243564326	0.00156265888635	0.000936010667362	0.000927928415564	0.000566414643932	0.000597337657517	0.00746225942061	0.00181607867129	0.000464708589548	0.0016121294513	0.00117911302951	0.00202196515742	0.00501692665879	0.00128702668185	0.00399078509557	0.00203262380889	0.000580800184838	0.00062639755533	0.0013734265185	0.000836422029638	0.00180098696937	0.00112167507242	0.0041563769671	0.00143650120964
Europe	other	0.0552580258325	0.056165506787	0.0826003978138	0.0648096901065	0.0966780394097	0.0799326509474	0.0816509500465	0.176218952578	0.00101399677708	0.00185044982365	0.00157336116505	0.00114437330127	0.00126237668254	0.00275979005187	0.00280102047295	0.00328779862822	0.00126033139164	0.00231042420003	0.00220967891933	0.00110772410203	0.000923864548802	0.00163972721647	0.00279889984557	0.00580275799093	0.000717409996422	0.00395693701216	0.00109526581122	0.000945168566604	0.00183377589415	0.00180561151748	0.00169125522324	0.00382897181228	0.000190615867107	0.00160091541208	0.00197691695087	0.00108410705517	0.00132881200099	0.00442484096429	0.00319979443391	0.00917247283657	0.000270806219695	0.000710650109123	0.00152232068299	0.000533641431702	0.000938936719388	0.00238907729192	0.00224265399858	0.00656841560267
